Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeGroup,Barco,Clima,TemperaturaMedia
0.0,3.0,male,22.0,1.0,0.0,7.25,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,38.0,1.0,0.0,65.64535,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,3.0,female,26.0,0.0,0.0,7.925,S,Joven (19-35),Titanic,Despejado,2.0
1.0,1.0,female,35.0,1.0,0.0,53.1,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,35.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,8.4583,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,54.0,0.0,0.0,51.8625,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,2.5,3.0,1.0,21.075,S,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,female,27.0,0.0,2.0,11.1333,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,female,14.0,1.0,0.0,30.0708,C,Adolescente (13-18),Titanic,Despejado,2.0
1.0,3.0,female,4.0,1.0,1.0,16.7,S,Niño (0-12),Titanic,Despejado,2.0
1.0,1.0,female,54.5,0.0,0.0,26.55,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,20.0,0.0,0.0,8.05,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,39.0,1.0,5.0,31.275,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,female,14.0,0.0,0.0,7.8542,S,Adolescente (13-18),Titanic,Despejado,2.0
1.0,2.0,female,54.5,0.0,0.0,16.0,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,2.5,4.0,1.0,29.125,Q,Niño (0-12),Titanic,Despejado,2.0
1.0,2.0,male,28.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,31.0,1.0,0.0,18.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,28.0,0.0,0.0,7.225,C,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,35.0,0.0,0.0,26.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,2.0,male,34.0,0.0,0.0,13.0,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,15.0,0.0,0.0,8.0292,Q,Adolescente (13-18),Titanic,Despejado,2.0
1.0,1.0,male,28.0,0.0,0.0,35.5,S,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,female,8.0,3.0,1.0,21.075,S,Niño (0-12),Titanic,Despejado,2.0
1.0,3.0,female,38.0,1.0,5.0,31.3875,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.225,C,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,19.0,3.0,2.0,65.64535,S,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,28.0,0.0,0.0,7.8792,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,3.0,male,28.0,0.0,0.0,7.8958,S,Joven (19-35),Titanic,Despejado,2.0
0.0,1.0,male,40.0,0.0,0.0,27.7208,C,Adulto (36-60),Titanic,Despejado,2.0
1.0,1.0,female,28.0,1.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
1.0,3.0,female,28.0,0.0,0.0,7.75,Q,Joven (19-35),Titanic,Despejado,2.0
0.0,2.0,male,54.5,0.0,0.0,10.5,S,Adulto (36-60),Titanic,Despejado,2.0
0.0,1.0,male,28.0,1.0,0.0,65.64535,C,Joven (19-35),Titanic,Despejado,2.0
